concept Meaningless Typically_feminine Slightly_feminine Neutral Slightly_masculine Typically_masculine
receive_message 0.0 0.0 1.0 5.0 0.0 0.0
kill_bird 0.0 0.0 0.0 0.0 2.0 3.0
save_life 0.0 0.0 0.0 3.0 3.0 1.0
avoid_eat 1.0 1.0 3.0 0.0 0.0 0.0
see_may 2.0 0.0 1.0 2.0 0.0 0.0
eat_human 4.0 0.0 0.0 1.0 1.0 0.0
enjoy_see 1.0 0.0 1.0 3.0 0.0 0.0
hurt_other_people 0.0 0.0 0.0 2.0 2.0 1.0
think_want_go 1.0 0.0 2.0 2.0 0.0 0.0
write_text 0.0 1.0 1.0 3.0 0.0 0.0
take_new 2.0 0.0 1.0 2.0 0.0 0.0
make_shine 0.0 0.0 3.0 3.0 0.0 0.0
come_dance 0.0 1.0 2.0 2.0 0.0 0.0
fill_up 0.0 0.0 0.0 3.0 2.0 0.0
learn_history 0.0 0.0 0.0 2.0 3.0 0.0
pull_off 1.0 0.0 0.0 3.0 1.0 0.0
buy_lot 1.0 0.0 1.0 3.0 0.0 0.0
make_up 0.0 3.0 0.0 2.0 0.0 0.0
gather_celebration 0.0 1.0 1.0 3.0 0.0 0.0
reach_top 0.0 0.0 0.0 2.0 3.0 0.0
build_snowman 0.0 0.0 0.0 1.0 4.0 0.0
can_help 0.0 1.0 1.0 0.0 0.0 0.0
make_two 3.0 0.0 0.0 2.0 0.0 0.0
see_sunset 0.0 0.0 3.0 2.0 0.0 0.0
skip_jump 1.0 0.0 1.0 2.0 1.0 1.0
see_well 0.0 0.0 0.0 5.0 0.0 0.0
fail_course 0.0 0.0 0.0 3.0 1.0 0.0
write_case 1.0 0.0 1.0 1.0 2.0 0.0
learn_different 1.0 0.0 1.0 4.0 0.0 0.0
describe_yourself 0.0 0.0 1.0 4.0 0.0 0.0
give_school 0.0 0.0 0.0 4.0 0.0 1.0
connect_god 1.0 0.0 0.0 4.0 0.0 0.0
read_music 1.0 0.0 1.0 3.0 0.0 0.0
protect_country 0.0 0.0 0.0 1.0 1.0 3.0
make_plan 0.0 0.0 1.0 1.0 2.0 1.0
feel_comfort 1.0 1.0 3.0 0.0 0.0 0.0
edit_document 0.0 0.0 1.0 2.0 0.0 0.0
learn_how_play 0.0 0.0 1.0 1.0 2.0 1.0
brown_bread 1.0 0.0 2.0 0.0 0.0 0.0
make_doll 0.0 5.0 0.0 0.0 0.0 0.0
leave_ring 1.0 0.0 0.0 1.0 3.0 1.0
take_side 0.0 2.0 0.0 2.0 1.0 0.0
catch_bug 0.0 0.0 0.0 2.0 3.0 0.0
try_solve_problem 0.0 0.0 0.0 1.0 3.0 1.0
make_tip 0.0 1.0 0.0 4.0 1.0 0.0
happen_yesterday 6.0 0.0 0.0 0.0 0.0 0.0
pour_glass 0.0 0.0 0.0 5.0 0.0 1.0
catch_football 0.0 0.0 0.0 0.0 0.0 5.0
ask_want 2.0 0.0 2.0 1.0 0.0 0.0
bus_system 2.0 0.0 0.0 0.0 0.0 0.0
kill_other 0.0 0.0 0.0 0.0 2.0 3.0
sit_class 1.0 0.0 0.0 5.0 1.0 0.0
make_throw_up 1.0 0.0 2.0 3.0 0.0 0.0
piece_meat 1.0 0.0 0.0 0.0 0.0 0.0
give_lecture 0.0 1.0 0.0 1.0 3.0 0.0
make_loud_noise 0.0 0.0 0.0 1.0 4.0 1.0
teach_course 0.0 1.0 2.0 2.0 1.0 0.0
see_color 1.0 0.0 2.0 2.0 0.0 0.0
make_house 1.0 0.0 2.0 1.0 0.0 1.0
see_say 4.0 0.0 1.0 0.0 0.0 0.0
put_bow 1.0 3.0 0.0 0.0 2.0 0.0
learn_god 0.0 0.0 0.0 5.0 0.0 0.0
see_first 1.0 1.0 1.0 2.0 0.0 0.0
buy_new_book 0.0 0.0 2.0 3.0 0.0 0.0
allow_life 1.0 0.0 1.0 3.0 0.0 0.0
bring_gift 0.0 1.0 2.0 1.0 1.0 0.0
feel_leave_out 0.0 0.0 1.0 2.0 0.0 0.0
achieve_goal 0.0 0.0 1.0 3.0 1.0 0.0
read_people 0.0 1.0 3.0 1.0 0.0 0.0
go_park 0.0 1.0 0.0 3.0 1.0 0.0
eat_carrot 0.0 0.0 1.0 4.0 0.0 0.0
travel_guide 1.0 0.0 0.0 0.0 0.0 0.0
go_hide 0.0 0.0 1.0 4.0 0.0 0.0
add_oil 0.0 0.0 0.0 1.0 1.0 3.0
squint_eye 1.0 0.0 0.0 5.0 0.0 0.0
leave_strand 2.0 0.0 2.0 1.0 1.0 0.0
attend_school 0.0 0.0 0.0 4.0 0.0 0.0
forget_trouble 0.0 0.0 1.0 3.0 1.0 0.0
rob_bank 0.0 0.0 0.0 0.0 2.0 3.0
speak_french 0.0 0.0 2.0 3.0 0.0 0.0
say_sentence 0.0 0.0 0.0 5.0 0.0 0.0
sit_exam 0.0 0.0 0.0 5.0 0.0 0.0
raise_hell 0.0 0.0 1.0 1.0 1.0 2.0
hurt_knee 0.0 0.0 0.0 1.0 4.0 0.0
veer_off 0.0 0.0 1.0 4.0 0.0 0.0
see_scene 0.0 0.0 3.0 2.0 0.0 0.0
ask_how 0.0 0.0 4.0 1.0 0.0 0.0
apply_law 0.0 0.0 0.0 2.0 5.0 0.0
swim_lap 1.0 0.0 0.0 2.0 2.0 0.0
think_positive 0.0 2.0 3.0 2.0 0.0 0.0
enjoy_entertainment 0.0 0.0 1.0 5.0 0.0 0.0
receive_thank 1.0 0.0 1.0 4.0 0.0 0.0
arrive_soon 1.0 0.0 1.0 2.0 1.0 0.0
buy_extra 0.0 0.0 3.0 2.0 0.0 0.0
pull_trigger 0.0 0.0 0.0 1.0 3.0 1.0
see_replay 0.0 0.0 0.0 1.0 3.0 1.0
make_person 3.0 1.0 1.0 0.0 0.0 0.0
feel_hungry 0.0 0.0 0.0 5.0 0.0 0.0
hide_body 0.0 0.0 1.0 2.0 0.0 2.0
obstruct_view 0.0 0.0 0.0 3.0 1.0 1.0
take_kid 0.0 1.0 2.0 3.0 0.0 0.0
wait_talk 1.0 0.0 3.0 1.0 0.0 0.0
lose_mind 0.0 0.0 2.0 3.0 0.0 0.0
get_assistance 0.0 2.0 4.0 0.0 0.0 0.0
house_representative 1.0 0.0 0.0 0.0 1.0 0.0
hold_trial 0.0 0.0 0.0 4.0 1.0 0.0
prepare_fight 0.0 0.0 0.0 0.0 1.0 1.0
feel_nostalgic 0.0 1.0 3.0 3.0 0.0 0.0
see_if_good 2.0 0.0 0.0 2.0 1.0 0.0
feel_cold 0.0 1.0 4.0 0.0 0.0 0.0
ask_go 1.0 0.0 2.0 1.0 1.0 0.0
expand_business 0.0 0.0 0.0 1.0 3.0 1.0
make_disappear 1.0 0.0 0.0 2.0 1.0 1.0
breathe_air 0.0 0.0 0.0 5.0 0.0 0.0
remove_shoe 0.0 1.0 0.0 3.0 1.0 0.0
go_friend 1.0 0.0 1.0 3.0 0.0 0.0
want_return 1.0 0.0 1.0 4.0 0.0 0.0
steal_property 0.0 0.0 0.0 1.0 2.0 2.0
dirty_trick 0.0 0.0 0.0 0.0 2.0 0.0
grow_fast 0.0 0.0 0.0 0.0 1.0 0.0
operate_officer 3.0 0.0 0.0 1.0 0.0 1.0
fill_house 0.0 2.0 3.0 0.0 0.0 0.0
eat_cracker 0.0 0.0 0.0 5.0 0.0 0.0
let_dance 0.0 0.0 5.0 0.0 0.0 0.0
let_happen 1.0 0.0 1.0 2.0 1.0 0.0
wrestle_match 3.0 0.0 0.0 0.0 0.0 2.0
see_give 4.0 0.0 1.0 0.0 0.0 0.0
give_rose 0.0 0.0 1.0 0.0 1.0 3.0
write_document 0.0 0.0 0.0 5.0 1.0 0.0
happen_anyone 3.0 0.0 0.0 2.0 0.0 0.0
pick_up_card 0.0 0.0 0.0 4.0 1.0 0.0
disturb_sleep 0.0 0.0 2.0 3.0 0.0 0.0
get_long 3.0 0.0 0.0 1.0 0.0 1.0
make_art 0.0 1.0 2.0 2.0 1.0 0.0
find_light 0.0 0.0 0.0 5.0 0.0 0.0
feel_frustrate 0.0 0.0 0.0 1.0 0.0 0.0
make_feel_good 0.0 2.0 4.0 1.0 0.0 0.0
think_real_hard 0.0 0.0 1.0 0.0 1.0 0.0
give_massage 0.0 1.0 0.0 0.0 0.0 0.0
hear_part 2.0 0.0 1.0 2.0 0.0 0.0
go_brazil 0.0 0.0 0.0 4.0 0.0 1.0
become_lose 3.0 0.0 1.0 1.0 0.0 0.0
make_prediction 0.0 0.0 3.0 2.0 0.0 0.0
make_picture 0.0 0.0 2.0 3.0 0.0 0.0
bring_back_memory 0.0 0.0 2.0 3.0 0.0 0.0
cease_fire 1.0 0.0 0.0 1.0 2.0 1.0
make_speech 0.0 0.0 0.0 4.0 1.0 0.0
think_game 3.0 0.0 0.0 2.0 1.0 0.0
see_pretty_girl 0.0 0.0 0.0 1.0 0.0 4.0
make_acquaintance 0.0 0.0 1.0 2.0 0.0 0.0
find_empty 2.0 0.0 0.0 3.0 0.0 0.0
keep_people_out 0.0 1.0 0.0 0.0 3.0 1.0
eat_worm 1.0 0.0 0.0 1.0 0.0 3.0
want_take_break 0.0 0.0 0.0 4.0 1.0 0.0
make_snack 0.0 1.0 2.0 3.0 1.0 0.0
hold_foot 3.0 0.0 0.0 2.0 0.0 0.0
leave_work_early 0.0 0.0 0.0 3.0 2.0 0.0
want_earn_money 0.0 0.0 0.0 3.0 2.0 0.0
quiet_storm 2.0 0.0 0.0 0.0 0.0 0.0
sing_like_bird 0.0 2.0 2.0 1.0 0.0 0.0
compete_against_other 0.0 0.0 0.0 0.0 3.0 2.0
annoy_music 3.0 0.0 0.0 1.0 1.0 0.0
make_piece 1.0 0.0 1.0 3.0 1.0 0.0
make_use 3.0 0.0 0.0 2.0 1.0 0.0
find_number 1.0 0.0 0.0 4.0 0.0 0.0
feel_okay 0.0 0.0 0.0 6.0 0.0 0.0
baby_body 2.0 0.0 0.0 0.0 0.0 0.0
go_leave 0.0 0.0 1.0 3.0 1.0 0.0
take_off_shoe 0.0 0.0 0.0 5.0 0.0 0.0
want_live 0.0 0.0 0.0 5.0 0.0 0.0
find_out_time 0.0 1.0 1.0 3.0 0.0 0.0
try_once 0.0 0.0 0.0 3.0 2.0 0.0
feel_home 1.0 0.0 4.0 0.0 0.0 0.0
send_clear_message 0.0 1.0 3.0 1.0 0.0 0.0
short_winter 2.0 0.0 0.0 0.0 0.0 0.0
take_step 0.0 0.0 0.0 3.0 2.0 0.0
make_mistake_learn 1.0 1.0 2.0 1.0 0.0 0.0
put_weight 0.0 0.0 2.0 3.0 0.0 0.0
buy_stock 0.0 0.0 0.0 1.0 4.0 0.0
accept_proposal 0.0 4.0 1.0 0.0 0.0 0.0
know_die 3.0 0.0 0.0 2.0 0.0 0.0
say_nice 0.0 1.0 3.0 1.0 0.0 0.0
know_house 2.0 2.0 1.0 0.0 0.0 0.0
make_connection 0.0 0.0 1.0 4.0 0.0 0.0
take_action 0.0 0.0 0.0 1.0 5.0 0.0
speak_english 0.0 0.0 0.0 1.0 0.0 0.0
lose_color 0.0 0.0 1.0 0.0 0.0 0.0
think_good 0.0 0.0 4.0 3.0 0.0 0.0
enter_school 0.0 0.0 0.0 5.0 0.0 0.0
sit_table 0.0 1.0 1.0 3.0 0.0 0.0
eat_sleep 1.0 0.0 0.0 4.0 1.0 0.0
free_booze 1.0 0.0 0.0 0.0 0.0 0.0
settle_down 0.0 0.0 4.0 1.0 1.0 0.0
organize_life 0.0 0.0 4.0 1.0 0.0 0.0
build_many 0.0 0.0 0.0 1.0 1.0 3.0
become_certify 1.0 0.0 0.0 3.0 1.0 0.0
make_beautiful 0.0 3.0 2.0 0.0 0.0 0.0
create_awareness 0.0 1.0 2.0 1.0 1.0 0.0
people_long 2.0 0.0 0.0 0.0 0.0 0.0
find_path 0.0 0.0 0.0 4.0 1.0 0.0
go_bed_early 0.0 0.0 3.0 2.0 0.0 0.0
buy_christmas_tree 0.0 0.0 1.0 1.0 3.0 0.0
choose_path 0.0 0.0 0.0 2.0 1.0 0.0
go_see_film 0.0 0.0 0.0 6.0 0.0 0.0
eat_noodle 0.0 0.0 0.0 3.0 2.0 0.0
make_sore 0.0 0.0 1.0 0.0 4.0 0.0
try_stay_dry 0.0 0.0 1.0 0.0 0.0 0.0
attend_mass 0.0 1.0 1.0 4.0 1.0 0.0
want_see_film 0.0 1.0 2.0 2.0 0.0 0.0
lend_hand 0.0 0.0 1.0 3.0 2.0 0.0
find_out_people 3.0 0.0 2.0 0.0 0.0 0.0
enjoy_moment 0.0 0.0 3.0 2.0 0.0 0.0
lose_wheel 1.0 0.0 0.0 2.0 2.0 0.0
maintain_balance 0.0 0.0 4.0 2.0 0.0 0.0
see_together 1.0 0.0 2.0 3.0 0.0 0.0
make_feel_alive 0.0 0.0 1.0 4.0 0.0 0.0
receive_package 0.0 0.0 0.0 5.0 0.0 0.0
take_city 3.0 0.0 0.0 2.0 1.0 0.0
hold_inside 0.0 1.0 2.0 1.0 0.0 2.0
go_net 1.0 0.0 0.0 4.0 1.0 1.0
hold_door 0.0 0.0 0.0 0.0 3.0 2.0
pull_fire_alarm 0.0 0.0 0.0 2.0 2.0 1.0
deliver_letter 1.0 0.0 0.0 2.0 2.0 0.0
interact_other 2.0 0.0 2.0 1.0 0.0 0.0
give_people 1.0 1.0 1.0 2.0 0.0 0.0
eat_good_food 0.0 0.0 0.0 4.0 1.0 0.0
make_magic 1.0 0.0 0.0 3.0 0.0 1.0
resolve_issue 0.0 0.0 4.0 1.0 0.0 0.0
make_meat 0.0 1.0 1.0 1.0 3.0 1.0
expect_good 0.0 1.0 0.0 4.0 0.0 0.0
memorize_line 0.0 0.0 0.0 5.0 0.0 0.0
think_boss 1.0 0.0 0.0 1.0 3.0 0.0
skin_feel 2.0 0.0 0.0 0.0 0.0 0.0
put_jacket 1.0 0.0 1.0 1.0 2.0 1.0
let_dog_out 0.0 0.0 0.0 1.0 1.0 0.0
find_out_result 0.0 0.0 1.0 4.0 0.0 0.0
sing_bad 0.0 0.0 0.0 2.0 3.0 1.0
go_buy_food 0.0 1.0 2.0 2.0 0.0 0.0
make_record 0.0 0.0 0.0 3.0 2.0 0.0
think_like 2.0 0.0 1.0 2.0 0.0 0.0
feel_upset 0.0 0.0 4.0 3.0 0.0 0.0
sever_head 2.0 0.0 0.0 0.0 2.0 1.0
yell_out 0.0 0.0 0.0 1.0 5.0 0.0
sit_school 1.0 0.0 1.0 3.0 0.0 0.0
make_assumption 0.0 1.0 2.0 1.0 1.0 0.0
try_learn 1.0 0.0 2.0 2.0 0.0 0.0
add_life 2.0 2.0 0.0 1.0 0.0 0.0
miss_son 0.0 0.0 1.0 4.0 0.0 0.0
tell_why 0.0 0.0 2.0 3.0 0.0 0.0
kill_germ 0.0 1.0 3.0 3.0 0.0 0.0
find_solution 0.0 0.0 0.0 1.0 5.0 0.0
join_cult 0.0 0.0 1.0 3.0 1.0 0.0
mount_rushmore 7.0 0.0 0.0 0.0 0.0 0.0
pierce_brosnan 5.0 0.0 0.0 0.0 0.0 0.0
pick_up_friend 0.0 0.0 0.0 3.0 2.0 0.0
buy_share 0.0 0.0 0.0 1.0 2.0 2.0
choose_word 0.0 0.0 2.0 3.0 0.0 0.0
motivate_yourself 0.0 1.0 1.0 2.0 1.0 0.0
find_paper 1.0 0.0 0.0 4.0 0.0 0.0
hold_hair_back 0.0 2.0 3.0 0.0 0.0 0.0
eat_lunch 0.0 0.0 0.0 5.0 0.0 0.0
celebrate_birthday 0.0 0.0 0.0 5.0 0.0 0.0
wait_traffic 1.0 0.0 0.0 4.0 0.0 0.0
miss_work 0.0 0.0 0.0 3.0 2.0 0.0
go_jail 0.0 0.0 0.0 1.0 2.0 2.0
leave_fingerprint 0.0 0.0 0.0 5.0 1.0 1.0
ask_stop 1.0 1.0 0.0 3.0 0.0 0.0
see_favorite_band 0.0 0.0 0.0 1.0 1.0 0.0
argue_case 0.0 0.0 2.0 1.0 3.0 0.0
want_date 0.0 2.0 1.0 3.0 1.0 0.0
put_price 2.0 0.0 2.0 1.0 0.0 0.0
know_situation 0.0 0.0 1.0 1.0 1.0 0.0
english_muffin 6.0 0.0 0.0 1.0 0.0 0.0
find_around 0.0 0.0 1.0 3.0 1.0 0.0
sit_down_listen 0.0 1.0 0.0 1.0 0.0 0.0
remember_date 0.0 4.0 1.0 0.0 0.0 0.0
make_understand 1.0 1.0 2.0 2.0 0.0 0.0
reach_over 0.0 0.0 0.0 2.0 0.0 0.0
shatter_piece 1.0 0.0 2.0 2.0 1.0 1.0
hear_rumor 0.0 0.0 4.0 1.0 0.0 0.0
invite_guest 0.0 1.0 2.0 2.0 0.0 0.0
suppose_warm 3.0 0.0 1.0 0.0 1.0 0.0
want_train 0.0 0.0 0.0 0.0 3.0 0.0
make_sauce 0.0 2.0 3.0 0.0 0.0 0.0
ask_check 1.0 0.0 3.0 0.0 1.0 0.0
go_college 0.0 0.0 1.0 5.0 0.0 0.0
hear_joke 0.0 0.0 0.0 5.0 0.0 0.0
throw_hand 3.0 0.0 0.0 0.0 1.0 1.0
eat_might 3.0 0.0 0.0 0.0 1.0 1.0
make_today 2.0 0.0 1.0 2.0 0.0 0.0
save_breath 0.0 0.0 0.0 1.0 0.0 0.0
feel_kind 0.0 0.0 5.0 0.0 0.0 0.0
make_rich 0.0 0.0 0.0 3.0 2.0 0.0
feel_awake 0.0 0.0 0.0 4.0 0.0 1.0
top_executive 2.0 0.0 0.0 0.0 0.0 0.0
resolve_problem 0.0 0.0 1.0 3.0 1.0 0.0
realize_how_stupid 0.0 0.0 3.0 1.0 1.0 0.0
make_cold 3.0 0.0 0.0 1.0 2.0 0.0
ask_stupid_question 0.0 1.0 0.0 1.0 3.0 0.0
find_miss 3.0 0.0 0.0 0.0 1.0 1.0
tongue_twister 1.0 0.0 0.0 0.0 0.0 0.0
know_line 1.0 0.0 1.0 2.0 1.0 0.0
pour_coffee 0.0 1.0 3.0 1.0 0.0 0.0
remember_few 0.0 0.0 0.0 3.0 1.0 2.0
govern_body 1.0 0.0 0.0 1.0 2.0 1.0
carry_bag 0.0 1.0 2.0 1.0 0.0 1.0
extend_arm 2.0 0.0 0.0 3.0 2.0 0.0
find_purse 0.0 3.0 1.0 0.0 1.0 0.0
marry_lady 0.0 0.0 0.0 0.0 1.0 4.0
assign_seat 0.0 0.0 1.0 5.0 0.0 0.0
occupy_time 0.0 0.0 0.0 1.0 0.0 0.0
find_child 0.0 0.0 2.0 3.0 0.0 0.0
read_question 0.0 0.0 1.0 2.0 0.0 0.0
tell_tale 0.0 0.0 1.0 3.0 2.0 0.0
keep_body 2.0 0.0 1.0 1.0 1.0 0.0
handle_money 0.0 0.0 1.0 3.0 1.0 0.0
sing_angel 0.0 2.0 3.0 1.0 0.0 0.0
compose_music 0.0 0.0 1.0 1.0 4.0 0.0
find_out_want 2.0 0.0 3.0 0.0 0.0 0.0
give_proof 0.0 0.0 1.0 2.0 2.0 0.0
give_opportunity 0.0 0.0 2.0 3.0 0.0 0.0
relax_mind 0.0 1.0 2.0 2.0 0.0 0.0
become_proud 0.0 0.0 0.0 5.0 1.0 0.0
save_energy 0.0 0.0 2.0 3.0 0.0 0.0
miss_family 0.0 0.0 1.0 4.0 0.0 0.0
eat_good 0.0 0.0 2.0 1.0 2.0 1.0
find_office 0.0 0.0 0.0 4.0 1.0 0.0
go_tv 2.0 0.0 0.0 1.0 1.0 1.0
keep_stuff 0.0 3.0 2.0 1.0 0.0 1.0
board_game 0.0 0.0 0.0 0.0 1.0 0.0
feel_uncomfortable 0.0 1.0 2.0 2.0 0.0 0.0
catch_show 0.0 0.0 2.0 3.0 0.0 0.0
find_brain 4.0 0.0 0.0 2.0 0.0 0.0
shave_head 0.0 0.0 0.0 0.0 0.0 1.0
fasten_seat_belt 0.0 0.0 0.0 5.0 0.0 0.0
buy_software 0.0 0.0 0.0 0.0 1.0 2.0
make_judgement 0.0 1.0 0.0 5.0 0.0 0.0
eat_cheese 0.0 0.0 2.0 3.0 0.0 0.0
send_christmas 1.0 1.0 1.0 2.0 0.0 0.0
make_honey 0.0 0.0 2.0 2.0 1.0 0.0
catch_mouse 0.0 0.0 0.0 0.0 3.0 4.0
eat_rat 4.0 0.0 0.0 1.0 1.0 0.0
corn_field 4.0 0.0 0.0 2.0 1.0 0.0
go_pop 4.0 0.0 1.0 2.0 0.0 0.0
go_hunt 0.0 0.0 0.0 0.0 0.0 5.0
eat_pudding 0.0 1.0 1.0 3.0 0.0 0.0
put_play 1.0 0.0 0.0 3.0 1.0 0.0
feel_hopeless 0.0 0.0 2.0 2.0 0.0 1.0
sell_sell 1.0 0.0 0.0 0.0 3.0 2.0
understand_math 0.0 0.0 1.0 2.0 2.0 0.0
catch_up 0.0 1.0 2.0 2.0 0.0 0.0
put_sleep 1.0 0.0 3.0 1.0 0.0 0.0
hurt_eye 0.0 0.0 0.0 0.0 1.0 0.0
write_set 2.0 0.0 1.0 3.0 0.0 0.0
throw_bottle 0.0 0.0 0.0 0.0 3.0 2.0
give_party 0.0 0.0 2.0 3.0 1.0 0.0
pick_up_glass 0.0 0.0 2.0 3.0 0.0 0.0
make_world 3.0 0.0 0.0 2.0 0.0 0.0
read_note 0.0 0.0 1.0 4.0 0.0 0.0
enjoy_power 0.0 0.0 0.0 0.0 5.0 2.0
want_enjoy 2.0 0.0 2.0 2.0 0.0 0.0
join_army 0.0 0.0 0.0 1.0 1.0 3.0
come_out 0.0 0.0 0.0 3.0 1.0 1.0
go_drive 0.0 0.0 0.0 1.0 3.0 1.0
know_help 3.0 0.0 1.0 1.0 0.0 0.0
believe_hell 0.0 0.0 0.0 2.0 0.0 0.0
read_might 2.0 0.0 0.0 1.0 2.0 0.0
let_spread 2.0 0.0 1.0 2.0 0.0 0.0
enjoy_nice_day 0.0 0.0 1.0 4.0 0.0 0.0
want_much 0.0 1.0 0.0 2.0 2.0 0.0
raise_lot_money 0.0 1.0 0.0 3.0 1.0 0.0
hang_self 0.0 0.0 0.0 2.0 3.0 1.0
teach_old_dog 0.0 0.0 0.0 2.0 3.0 0.0
toy_shop 2.0 0.0 0.0 0.0 0.0 0.0
make_calm 0.0 2.0 2.0 1.0 1.0 0.0
english_spanish 5.0 0.0 0.0 0.0 0.0 0.0
enforce_rule 0.0 0.0 0.0 1.0 3.0 1.0
try_pass 3.0 0.0 0.0 0.0 2.0 0.0
french_english 4.0 0.0 1.0 0.0 0.0 0.0
make_account 0.0 0.0 0.0 4.0 1.0 0.0
come_towards 1.0 0.0 0.0 3.0 1.0 0.0
hear_friend 0.0 0.0 2.0 3.0 0.0 0.0
buy_house 0.0 0.0 0.0 3.0 2.0 1.0
follow_through 0.0 0.0 1.0 2.0 2.0 0.0
happen_sometimes 3.0 0.0 0.0 2.0 0.0 0.0
forget_money 0.0 0.0 1.0 2.0 2.0 0.0
take_ibuprofen 0.0 0.0 1.0 3.0 1.0 0.0
spend_time_alone 0.0 0.0 0.0 3.0 0.0 0.0
know_thyself 0.0 0.0 2.0 3.0 0.0 0.0
hurt_kill 2.0 0.0 0.0 1.0 2.0 0.0
kill_love 1.0 0.0 0.0 2.0 2.0 0.0
choose_team 0.0 0.0 0.0 2.0 3.0 0.0
carry_weight 0.0 0.0 0.0 2.0 1.0 2.0
hide_spot 1.0 1.0 2.0 0.0 1.0 0.0
black_star 1.0 0.0 0.0 0.0 0.0 0.0
hold_ball 0.0 0.0 1.0 1.0 3.0 0.0
protect_animal 0.0 1.0 1.0 2.0 1.0 0.0
get_the 4.0 0.0 0.0 1.0 0.0 0.0
unite_state_america 5.0 0.0 0.0 1.0 0.0 0.0
grow_herb 0.0 0.0 4.0 1.0 0.0 0.0
become_part 1.0 0.0 1.0 3.0 0.0 0.0
speak_talk 1.0 1.0 3.0 0.0 0.0 0.0
make_sport 0.0 0.0 0.0 0.0 2.0 0.0
injure_car_accident 1.0 0.0 0.0 5.0 0.0 0.0
feel_buzz 1.0 0.0 0.0 3.0 0.0 1.0
make_word 1.0 0.0 1.0 5.0 0.0 0.0
take_plane 0.0 0.0 0.0 5.0 0.0 0.0
feel_nauseous 0.0 0.0 3.0 2.0 0.0 0.0
go_law_school 0.0 0.0 0.0 2.0 3.0 1.0
write_work 0.0 1.0 0.0 4.0 0.0 0.0
hear_clear 0.0 0.0 2.0 4.0 0.0 0.0
make_pact 0.0 0.0 1.0 2.0 1.0 1.0
pretend_work 0.0 0.0 1.0 0.0 1.0 0.0
generate_revenue 0.0 0.0 0.0 3.0 3.0 1.0
know_location 0.0 0.0 0.0 3.0 0.0 2.0
go_audition 0.0 0.0 1.0 4.0 0.0 0.0
write_list 0.0 2.0 2.0 1.0 0.0 0.0
english_german 5.0 0.0 0.0 0.0 0.0 0.0
meet_boyfriend 0.0 1.0 0.0 0.0 0.0 0.0
make_good_decision 0.0 0.0 1.0 3.0 1.0 0.0
take_elevator 0.0 0.0 1.0 5.0 0.0 0.0
hear_yourself 0.0 1.0 1.0 3.0 1.0 0.0
give_work 0.0 0.0 2.0 2.0 1.0 0.0
back_photo 2.0 0.0 0.0 0.0 0.0 0.0
eat_leave 3.0 0.0 0.0 1.0 1.0 0.0
sit_inside 0.0 1.0 1.0 3.0 0.0 0.0
go_film 0.0 1.0 0.0 4.0 0.0 0.0
